Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
EXIT REALTY FIRST CHOICE,Land,160000,3,2,2184,Queens Village,"110-42 213th StQueens Village, NY 11429",MANHATTAN,40.7066981,-73.7439122,11429
Coldwell Banker Reliable,Contingent,999999,3,2,1880,Brooklyn,"560 Bay Ridge AveBrooklyn, NY 11220",MANHATTAN,40.6325838,-74.0194607,11220
Karten Real Estate Svcs LLC,House,1448000,5,4,2000,Bellerose,"84-19 253rd StBellerose, NY 11426",MANHATTAN,40.735335,-73.7142031,11426
BERGEN BASIN REALTY,House,2950000,6,5,5436,Brooklyn,"2390 National DrBrooklyn, NY 11234",MANHATTAN,40.6037688,-73.9113665,11234
EXP Realty,Co-op,150000,3,1,600,Corona,"99-10 60 Ave Unit 5LCorona, NY 11368",QUEENS,40.7364499,-73.8584826,11368
DiTommaso Real Estate,Condo,354900,2,1,673,Brooklyn,"160 72nd St Apt 713Brooklyn, NY 11209",BROOKLYN,40.6343667,-74.0311335,11209
Chase Global Realty Corp,Condo,580000,2,2,2184,Jackson Heights,"93-05 37th Ave Unit 5AJackson Heights, NY 11372",MANHATTAN,40.7510826,-73.8738365,11372
Trademarko Realty Inc,House,969000,3,2,1776,Middle Village,"63-44 72nd StMiddle Village, NY 11379",MANHATTAN,40.7165988,-73.883495,11379
Bayview Marketing Group LLC,Condo,530000,1,1,538,Brooklyn,"2286 Cropsey Ave Unit 6DBrooklyn, NY 11214",MANHATTAN,40.5954596,-73.9968422,11214
Winzone Realty Inc,House,3900000,5,6,7723,Malba,"14458 BoulevardMalba, NY 11357",MANHATTAN,40.7924353,-73.8258362,11357
Keller Williams Realty Greater Nassau,Condo,624999,3,2,2184,Brooklyn,"1070 E 73rd St Unit 4CBrooklyn, NY 11234",BROOKLYN,40.6283771,-73.9175027,11234
VYLLA Homes,House,551000,3,2,2184,Brooklyn,"1606 E 45th StBrooklyn, NY 11234",MANHATTAN,40.6214749,-73.932287,11234
Corcoran East Side,Townhouse,14800000,8,10,2184,New York,"135 E 15th StNew York, NY 10003",MANHATTAN,40.7345123,-73.9874441,10003
Kismet Realty NY,House,450000,3,2,1122,Bronx,"102 Pilot StBronx, NY 10464",MANHATTAN,40.8408308,-73.7856681,10464
"Robert DeFalco Realty, Inc.",Condo,475000,2,1,1296,Staten Island,"26 Katan Loop Unit BStaten Island, NY 10308",MANHATTAN,40.5527755,-74.1539297,10308
Corcoran West Side Gallery,Condo,995000,3,2,2184,New York,"100 Manhattan Ave Apt 4ANew York, NY 10025",MANHATTAN,40.7974456,-73.9620195,10025
Sotheby's International Realty,Co-op,650000,1,1,2184,New York,"411 E 57th St Apt 16BNew York, NY 10022",MANHATTAN,40.7582795,-73.9624506,10022
Sold By Bart R E Partners Inc,Co-op,250000,2,1,2184,Woodhaven,"83-55 Woodhaven Blvd Unit 6KWoodhaven, NY 11421",QUEENS,40.700309,-73.8535466,11421
Re/Max In The City,Co-op,125000,3,1,600,Bronx,"3121 Middletown Rd Apt 1CBronx, NY 10461",BRONX,40.8455961,-73.8264218,10461
COMPASS,Co-op,2200000,3,3,2195,Manhattan,"336 Central Park W Apt 3BManhattan, NY 10025",MANHATTAN,40.7904197,-73.966175,10025
Corcoran East Side,Condo,925000,2,1,2184,New York,"200 Bowery Apt 2CNew York, NY 10012",MANHATTAN,40.7213854,-73.9939529,10012
Classic Home Sales,House,639000,3,2,2184,Brooklyn,"2072 E 74th StBrooklyn, NY 11234",MANHATTAN,40.6214608,-73.905805,11234
Sowae Corp,House,215000,3,2,1509,Saint Albans,"114-06 194 StSaint Albans, NY 11412",MANHATTAN,40.6982271,-73.7605874,11412
"Tom Crimmins Realty, Ltd.",House,2050000,6,6,5600,Staten Island,"254 Flagg PlStaten Island, NY 10304",MANHATTAN,40.5856353,-74.1068594,10304
Jane Mosello Real Estate,Co-op,279000,2,2,1050,Bronx,"4320 Van Cortlandt Park E Apt RBronx, NY 10470",MANHATTAN,40.898666,-73.8738365,10470
COMPASS,Condo,785000,2,2,968,Brooklyn,"16 Bay 25th St Unit 4ABrooklyn, NY 11214",BROOKLYN,40.6039146,-73.9980848,11214
Ashford Homes,House,669000,3,2,1312,Staten Island,"72 Boone StStaten Island, NY 10314",MANHATTAN,40.6013797,-74.1380964,10314
Corcoran SoHo,Multi-family home,3650000,4,4,2880,Brooklyn,"35 Joralemon StBrooklyn, NY 11201",MANHATTAN,40.6938815,-73.9983127,11201
Vandenberg,Townhouse,6700000,4,4,3740,New York,"51 W 95th StNew York, NY 10025",MANHATTAN,40.7918625,-73.9667605,10025
Vantage Realty Partners,Multi-family home,681000,6,3,2184,Brooklyn,"694 Ashford StBrooklyn, NY 11207",MANHATTAN,40.6648825,-73.8826911,11207
"Robert DeFalco Realty, Inc.",Multi-family home,530000,2,2,1672,Staten Island,"87 Murdock PlStaten Island, NY 10303",MANHATTAN,40.6268626,-74.1476451,10303
Corcoran SoHo,Condo,1700000,2,2,1580,Brooklyn,"984 Bergen Residence St Apt 1Brooklyn, NY 11216",BROOKLYN,40.6763522,-73.9543474,11216
J. Milo Real Estate Ltd,Co-op,339000,1,1,1085,Brooklyn,"9437 Shore Rd Apt C8Brooklyn, NY 11209",BROOKLYN,40.6171201,-74.0385203,11209
Keller Williams Village Sq Rlt,House,800000,3,2,1224,Old Mill Basin,"1883 E 53rd StOld Mill Basin, NY 11234",MANHATTAN,40.6125589,-73.9230425,11234
Re/Max In The City,Co-op,189000,1,1,700,Bronx,"6535 Broadway Apt 1GBronx, NY 10471",BRONX,40.906568,-73.8968047,10471
Corcoran East Side,Co-op,48000000,5,2,2184,New York,"740 Park Ave # 4 & 5BNew York, NY 10021",MANHATTAN,40.7707516,-73.9645283,10021
Brown Harris Stevens,Co-op,4995000,2,2,2184,Manhattan,"14 E 75th St Unit 9DManhattan, NY 10021",MANHATTAN,40.7737635,-73.9644574,10021
"Ed Bruno Realty, LLC",Contingent,835000,5,2,2050,Staten Island,"393 Guyon AveStaten Island, NY 10306",MANHATTAN,40.5582716,-74.1160817,10306
Douglas Elliman,House,999999,2,2,1198,New York,"333 E 91st St Apt 10BNew York, NY 10128",MANHATTAN,40.7803429,-73.947266,10128
Commerce Realty Group,Condo,575000,3,2,877,Ridgewood,"61-20 71st Ave Unit F2ARidgewood, NY 11385",QUEENS,40.7019793,-73.8942094,11385
Corcoran Bedford Stuyvesant,Pending,349750,1,1,2184,Brooklyn,"483 17th St # 2LBrooklyn, NY 11215",BROOKLYN,40.6585622,-73.9825211,11215
Corcoran West Side,Co-op,385000,1,1,2184,New York,"116 Pinehurst Ave Apt B52New York, NY 10033",MANHATTAN,40.8522694,-73.939181,10033
COMPASS,Townhouse,7950000,4,2,3397,Manhattan,"20 Jones StManhattan, NY 10014",MANHATTAN,40.7319485,-74.0025061,10014
CHIN,Pending,324900,2,2,1100,Bronx,"5715 Mosholu Ave Apt 6BBronx, NY 10471",BRONX,40.9057959,-73.90002,10471
Douglas Elliman,Co-op,175000,3,1,2184,Brooklyn,"275 Webster Ave Apt 6GBrooklyn, NY 11230",BROOKLYN,40.6329634,-73.9709274,11230
Keller Williams Realty Elite,Multi-family home,915999,5,3,2184,East Elmhurst,"26-39 93rd StEast Elmhurst, NY 11369",MANHATTAN,40.7618985,-73.8758538,11369
RE MAX Edge,Multi-family home,1850000,12,8,5250,Brooklyn,"1727 E 14th StBrooklyn, NY 11229",MANHATTAN,40.6074371,-73.9588281,11229
Douglas Elliman,Condo,40000000,5,6,7488,New York,"111 Murray St Ph 2New York, NY 10007",MANHATTAN,40.715351,-74.0128441,10007
CHIN,Pending,324900,2,2,1100,Bronx,"5715 Mosholu Ave Apt 6BBronx, NY 10471",BRONX,40.9057959,-73.90002,10471
RE MAX Edge,Multi-family home,1850000,12,8,5250,Brooklyn,"1727 E 14th StBrooklyn, NY 11229",MANHATTAN,40.6074371,-73.9588281,11229
Pantiga Group Inc.,Co-op,175000,1,1,800,Bronx,"190 E Mosholu Pkwy S Apt 3BBronx, NY 10458",BRONX,40.8742949,-73.883753,10458
SBRW,Pending,850000,2,1,775,New York,"236 E 6th St Apt 3WNew York, NY 10003",MANHATTAN,40.7274335,-73.9892241,10003
Winzone Realty Inc,House,729000,4,2,2184,Cambria Heights,"118-18 225th StCambria Heights, NY 11411",MANHATTAN,40.6917538,-73.7370978,11411
Douglas Elliman,Townhouse,5995000,6,4,4000,Brooklyn,"136 Kane StBrooklyn, NY 11231",MANHATTAN,40.6868209,-73.9988226,11231
EXP Realty,Co-op,480000,2,1,2184,Forest Hills,"66-36 Yellowstone Blvd Unit 22BForest Hills, NY 11375",QUEENS,40.7291499,-73.84944,11375
Brown Harris Stevens,House,4200000,5,4,4480,New York,"164 W 88th StNew York, NY 10024",MANHATTAN,40.788437,-73.9731887,10024
Daniel Gale Sotheby's International Realty,Townhouse,1198000,4,2,2184,Queens,"68-09 Olcott StQueens, NY 11375",MANHATTAN,40.7129312,-73.8561994,11375
"BEN BAY REALTY, CO.",House,1848000,6,2,3676,Brooklyn,"976 Ocean AveBrooklyn, NY 11226",MANHATTAN,40.6386251,-73.9591955,11226
eXp Realty BKNY,Co-op,285000,1,1,750,Brooklyn,"1293 E 5th St Apt 6BBrooklyn, NY 11230",BROOKLYN,40.6195811,-73.9706361,11230
Realty Trends Corp,Multi-family home,849000,5,3,2460,Far Rockaway,"43-06 Rockaway Beach BlvdFar Rockaway, NY 11691",MANHATTAN,40.5939428,-73.7748361,11691
COMPASS,House,549000,3,2,1250,Bronx,"1764 Undercliff AveBronx, NY 10453",MANHATTAN,40.8515331,-73.9197862,10453
Magic Of Great Neck Realty Inc,Co-op,729000,2,2,1700,Floral Park,"26910 Grand Central Pkwy Apt 12OFloral Park, NY 11005",QUEENS,40.7577991,-73.7159564,11005
Douglas Elliman,Co-op,199999,1,1,2184,Bayside,"209-10 41st Ave Unit 1FBayside, NY 11361",QUEENS,40.762788,-73.7768814,11361
Douglas Elliman,House,4900000,8,2,9000,Bronx,"5040 Goodridge AveBronx, NY 10471",MANHATTAN,40.8983076,-73.9020849,10471
Exp Realty,Multi-family home,600000,4,2,1728,Bronx,"4217 Seton AveBronx, NY 10466",MANHATTAN,40.896179,-73.839487,10466
KELLER WILLIAMS REALTY LANDMARK II,House,599000,3,1,1340,Jamaica,"111-20 145th StJamaica, NY 11435",MANHATTAN,40.6860975,-73.7998859,11435
Voro Llc,Multi-family home,599000,5,2,2268,Brooklyn,"716 Decatur StBrooklyn, NY 11233",MANHATTAN,40.6835248,-73.9141078,11233
Fillmore Real Estate,Condo,725000,3,2,1185,Brooklyn,"1322 E 14th St Apt 4BBrooklyn, NY 11230",BROOKLYN,40.6172572,-73.9611011,11230
BROOKLYN`S 4 U REALTY,Multi-family home,1295000,3,2,2600,Brooklyn,"2506 E 65th StBrooklyn, NY 11234",MANHATTAN,40.609816,-73.9084026,11234
Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home,798888,3,2,1500,Staten Island,"849 Rossville AveStaten Island, NY 10309",MANHATTAN,40.5474933,-74.2098503,10309
J Milo Real Estate,House,529000,3,1,1800,Queens,"89-22 210th PlQueens, NY 11427",MANHATTAN,40.7212998,-73.7544395,11427
"Homes R Us Realty of NY, Inc.",Multi-family home,999998,3,2,2400,Staten Island,"327 Brehaut AveStaten Island, NY 10307",MANHATTAN,40.5114943,-74.2382685,10307
COMPASS,Pending,499000,1,1,615,Manhattan,"265 W 131st St Apt 5Manhattan, NY 10027",MANHATTAN,40.8138919,-73.9476673,10027
RE MAX Central,Multi-family home,1550000,12,7,3000,Staten Island,"174-176 Camden AveStaten Island, NY 10309",MANHATTAN,40.5083446,-74.2299349,10309
RE/MAX City Square,Co-op,319000,2,1,2184,Forest Hills,"67-41 Burns St Unit 414Forest Hills, NY 11375",QUEENS,40.7230399,-73.85628,11375
Ben Bay Realty Company of Staten Island LLC,Contingent,759000,3,4,1424,Staten Island,"419 Ogorman AveStaten Island, NY 10308",MANHATTAN,40.552359,-74.14076,10308
JWS REALTY GROUP,Co-op,245000,3,1,260,Ny,"5 Tudor City Pl Apt 1818Ny, NY 10017",MANHATTAN,40.748134,-73.9708805,10017
Get Listed Get Sold NYC,Multi-family home,1249000,5,3,1548,Brooklyn,"2171 W 7th StBrooklyn, NY 11223",MANHATTAN,40.5946329,-73.9779295,11223
RE MAX Edge,Condo,455000,2,1,939,Staten Island,"449 Medina St Apt 2CStaten Island, NY 10306",STATEN_ISLAND,40.5599528,-74.1198255,10306
RE/MAX City Square,Co-op,319000,2,1,2184,Forest Hills,"67-41 Burns St Unit 414Forest Hills, NY 11375",QUEENS,40.7230399,-73.85628,11375
RE MAX Edge,Multi-family home,999900,4,2,2024,Brooklyn,"29 Bay 10th StBrooklyn, NY 11228",MANHATTAN,40.6101839,-74.009209,11228
JM Properties,House,395000,2,1,666,Staten Island,"170 Baden PlStaten Island, NY 10306",MANHATTAN,40.5724498,-74.0909716,10306
Nestapple,Condo,620000,1,1,430,Manhattan,"112 W 72nd St Ph CManhattan, NY 10023",MANHATTAN,40.7774399,-73.9793101,10023
Momentum Real Estate LLC,Multi-family home,1295000,4,2,3264,Staten Island,"643 Huguenot AveStaten Island, NY 10312",MANHATTAN,40.5389259,-74.195072,10312
Ilite Realty Inc,Condo,849000,3,2,1241,Brooklyn,"398 Kings Hwy Unit 308Brooklyn, NY 11223",BROOKLYN,40.604405,-73.9751935,11223
Serhant,Co-op,8995000,5,4,5500,New York,"38 W 26th St Unit 9THNew York, NY 10010",MANHATTAN,40.7442721,-73.9907621,10010
Jnm & Associates Inc,Co-op,650000,3,1,2184,Brooklyn,"116 Cambridge Pl Apt 3CBrooklyn, NY 11238",BROOKLYN,40.6837918,-73.9631445,11238
COMPASS,Condo,2995000,2,2,1452,Manhattan,"120 E 87th St Apt R26BManhattan, NY 10128",MANHATTAN,40.7803919,-73.9558923,10128
Douglas Elliman,Condo,495000,2,1,800,Kew Gardens,"83-71 116th St Unit 4EKew Gardens, NY 11418",QUEENS,40.7045515,-73.8356118,11418
NEUHAUS REALTY INC.,House,675000,3,2,1222,Staten Island,"7 Norwood CtStaten Island, NY 10304",MANHATTAN,40.6277171,-74.0860272,10304
COMPASS,Condo,999000,3,1,600,Manhattan,"10 W End Ave Apt 8JManhattan, NY 10023",MANHATTAN,40.7717454,-73.9900505,10023
PPAD,Condo,2250000,2,2,1334,Brooklyn,"415 DE Graw St Unit PhBrooklyn, NY 11217",MANHATTAN,40.6819719,-73.9903277,11217
RE MAX Distinguished Homes & Properties,Multi-family home,1299000,9,4,3720,Bronx,"790 Olmstead AveBronx, NY 10473",MANHATTAN,40.8227297,-73.8517272,10473
J. Sikar Realty,Condo,429000,1,1,640,Brooklyn,"501 Surf Ave Apt 9DBrooklyn, NY 11224",BROOKLYN,40.5755355,-73.9735905,11224
Aschan Realty,House,649999,3,2,2184,Rosedale,"139-32 Laurelton PkwyRosedale, NY 11422",MANHATTAN,40.6670008,-73.7409018,11422
Brown Harris Stevens,Townhouse,10995000,7,6,9000,Manhattan,"318 W 81st St Unit TownhouseManhattan, NY 10024",MANHATTAN,40.7858802,-73.9811894,10024
Brown Harris Stevens,Townhouse,2050000,5,4,3000,Brooklyn,"26 Rutland Rd Unit TownhouseBrooklyn, NY 11225",MANHATTAN,40.6586603,-73.9595973,11225
COMPASS,Pending,1299000,4,2,1456,Manhattan,"100 W 119th St Apt 3AManhattan, NY 10026",MANHATTAN,40.8040587,-73.9487622,10026
"Behfar Team, Llc",House,1075000,6,2,2200,Brooklyn,"1455 E 15th StBrooklyn, NY 11230",MANHATTAN,40.6141979,-73.9591151,11230
TRACEY REAL ESTATE,Co-op,174000,1,1,800,Brooklyn,"3105 Avenue V Apt 1HBrooklyn, NY 11229",BROOKLYN,40.5997081,-73.9344974,11229
Connie Profaci Realty,House,1193000,2,2,1518,Staten Island,"1085 Todt Hill RdStaten Island, NY 10304",MANHATTAN,40.5839283,-74.1113788,10304
Corcoran Bedford Stuyvesant,House,4995000,4,4,2184,Brooklyn,"464 1st StBrooklyn, NY 11215",MANHATTAN,40.6712943,-73.9771145,11215
Sotheby's International Realty,Townhouse,12500000,9,2,10500,New York,"180 Second AveNew York, NY 10003",MANHATTAN,40.7305606,-73.9859258,10003
Pride Estates,House,898000,5,4,2828,Brooklyn,"185 Highland BlvdBrooklyn, NY 11207",MANHATTAN,40.6816001,-73.8948525,11207
Keller Williams NYC,Multi-family home,1288000,5,3,1500,Whitestone,"147-18 16th RdWhitestone, NY 11357",MANHATTAN,40.7849809,-73.8178033,11357
Prodigy Real Estate Inc.,House,1749999,4,4,2600,Staten Island,"106 Overlook AveStaten Island, NY 10304",MANHATTAN,40.595688,-74.0982331,10304
RE MAX Elite,Condo,575000,2,2,1253,Rockaway Park,"101-02 Shore Front Pkwy Unit 26ARockaway Park, NY 11694",QUEENS,40.5824866,-73.8213437,11694
"Nest Seekers International, Midtown",Condo,5100000,4,2,2183,New York,"201 W 17th St Ph FNew York, NY 10011",MANHATTAN,40.7408109,-73.998475,10011
COMPASS,Condo,2000000,1,2,1321,Manhattan,"108 Reade St Unit 4WManhattan, NY 10013",MANHATTAN,40.7159753,-74.0083683,10013
Keller Williams Ny Realty,Co-op,170000,2,1,850,Bronx,"3555 Kings College Pl Apt 2GBronx, NY 10467",BRONX,40.8813916,-73.8757001,10467
Corcoran Westside Columbus,Co-op,1295000,2,2,2100,Brooklyn,"28 Old Fulton St # ThfBrooklyn, NY 11201",BROOKLYN,40.702334,-73.9937463,11201
"KMS Realty Group, Inc.",House,749000,3,2,1332,Staten Island,"767 Brighton AveStaten Island, NY 10301",MANHATTAN,40.6333903,-74.0969828,10301
Momentum Real Estate Llc,Multi-family home,1848000,3,4,3640,Brooklyn,"1862 84th AveBrooklyn, NY 11214",MANHATTAN,40.607214,-73.9998636,11214
COMPASS,Co-op,465000,2,2,2184,Manhattan,"420 E 51st St Apt 10CManhattan, NY 10022",MANHATTAN,40.754032,-73.965157,10022
Voro Llc,Co-op,298999,2,1,2184,Queens Village,"229-17 87th Ave Unit UpperQueens Village, NY 11427",MANHATTAN,40.7317712,-73.739171,11427
EXIT ALL SEASONS REALTY,Co-op,209900,1,1,780,Brooklyn,"3845 Shore Pkwy Apt 5HBrooklyn, NY 11235",BROOKLYN,40.586901,-73.932949,11235
COMPASS,Co-op,539000,1,1,2184,Brooklyn,"385 E 18th St Apt 6JBrooklyn, NY 11226",BROOKLYN,40.6419847,-73.9614428,11226
Douglas Elliman,House,2975000,3,2,2184,Brooklyn,"474 Sterling PlBrooklyn, NY 11238",MANHATTAN,40.674276,-73.9626129,11238
Akcess24homes Inc,Multi-family home,2099000,6,5,2184,Rego Park,"97-19 63rd DrRego Park, NY 11374",MANHATTAN,40.7308373,-73.8599677,11374
Houlihan Lawrence Bronxville,Co-op,199900,1,1,925,Bronx,"55 E 190th St Apt 3Bronx, NY 10468",BRONX,40.863113,-73.8983227,10468
COMPASS,Co-op,789000,2,1,2184,Manhattan,"400 E 77th St Apt 4EManhattan, NY 10075",MANHATTAN,40.7707244,-73.9533267,10075
Douglas Elliman,House,919000,3,2,1565,Brooklyn,"941 Newkirk AveBrooklyn, NY 11230",MANHATTAN,40.6335949,-73.9678166,11230
Corcoran East Side,House,815599,3,2,2184,Brooklyn,"3708 Avenue MBrooklyn, NY 11234",MANHATTAN,40.6254509,-73.9395115,11234
Ashford Homes,Multi-family home,1050000,4,4,3305,Staten Island,"97 Excelsior AveStaten Island, NY 10309",MANHATTAN,40.5209862,-74.2084631,10309
William Raveis Real Estate,Co-op,289999,1,1,830,Bronx,"2550 Independence Ave Apt 3CBronx, NY 10463",BRONX,40.8799897,-73.919862,10463
BHHS New York Properties,Co-op,4050000,4,3,2184,New York,"1060 Fifth Ave Unit 3CNew York, NY 10128",MANHATTAN,40.7822029,-73.959633,10128
Oxford Property Group,Townhouse,7750000,3,2,3375,Brooklyn,"5622 14th AveBrooklyn, NY 11219",MANHATTAN,40.629467,-73.994672,11219
RE MAX Edge,Multi-family home,1998000,6,3,3192,Brooklyn,"578 Ovington AveBrooklyn, NY 11209",MANHATTAN,40.631406,-74.0193512,11209
Douglas Elliman,Condo,1250000,3,2,1281,Brooklyn,"425 14th St Unit D1 /D2Brooklyn, NY 11215",MANHATTAN,40.7308035,-73.9808981,11215
Apple Realty Group Corp,Condo,680000,2,2,1058,Beechhurst,"167-09 Powell Cove Blvd Unit 26Beechhurst, NY 11357",QUEENS,40.7942255,-73.7950678,11357
Winzone Realty Inc,House,1299000,4,2,2184,Brooklyn,"2066 66th StBrooklyn, NY 11204",MANHATTAN,40.6147583,-73.9849887,11204
A J Realty Of Queens Inc,Multi-family home,899000,4,2,2184,South Ozone Park,"109-06 112th StSouth Ozone Park, NY 11420",MANHATTAN,40.6803198,-73.8281794,11420
Elegran LLC,Condo,845000,3,2,2184,Kew Gardens,"83-09 Talbot St Unit 5NKew Gardens, NY 11415",QUEENS,40.7095418,-73.8286658,11415
E Realty International Corp,House,2098000,5,4,1200,Flushing,"147-48 8th AveFlushing, NY 11357",MANHATTAN,40.7928436,-73.8190811,11357
Fillmore Real Estate,Co-op,899000,2,2,1300,Brooklyn,"9201 Shore Rd Apt C507Brooklyn, NY 11209",BROOKLYN,40.620502,-74.0396973,11209
Keller Williams Rlty Landmark,House,758888,3,1,2184,Bayside,"203-03 34th AveBayside, NY 11361",MANHATTAN,40.7676985,-73.7850344,11361
Redfin Real Estate,Co-op,650000,2,1,2184,New York,"332 W 101st St Apt 2RNew York, NY 10025",MANHATTAN,40.798761,-73.9721556,10025
Flat Rate Realty Of Queens Ltd,Co-op,169000,1,1,850,Jamaica,"165-20 Highland Ave Unit 105Jamaica, NY 11432",QUEENS,40.7106599,-73.7986899,11432
Prospes Real Estate Corp,Multi-family home,1350000,5,3,2184,Middle Village,"58-16 83rd PlMiddle Village, NY 11379",MANHATTAN,40.728555,-73.8780858,11379
Brown Harris Stvns Forest Hill,Co-op,695000,2,2,2184,Jackson Heights,"35-25 77th St Unit A16Jackson Heights, NY 11372",QUEENS,40.7507718,-73.8890157,11372
Douglas Elliman,Multi-family home,1499000,5,2,2280,Brooklyn,"18 Covert StBrooklyn, NY 11207",MANHATTAN,40.6852121,-73.9131299,11207
COMPASS,Pending,395000,3,2,381,Brooklyn,"192 Water St Ste CBrooklyn, NY 11201",BROOKLYN,40.7028922,-73.9860614,11201
Flat Rate Realty Of Queens Ltd,Co-op,169000,1,1,850,Jamaica,"165-20 Highland Ave Unit 105Jamaica, NY 11432",QUEENS,40.7106599,-73.7986899,11432
COMPASS,Pending,395000,3,2,381,Brooklyn,"192 Water St Ste CBrooklyn, NY 11201",BROOKLYN,40.7028922,-73.9860614,11201
Coldwell Banker Advantage,Townhouse,499000,3,2,1400,Staten Island,"181 Morningstar RdStaten Island, NY 10303",MANHATTAN,40.633314,-74.145909,10303
COMPASS,Co-op,449000,3,1,2184,Manhattan,"440 E 56th St Apt 4DManhattan, NY 10022",MANHATTAN,40.7568629,-73.9621341,10022
"Hall Homes Realty, Inc.",House,649000,4,2,1120,Staten Island,"2760 Amboy RdStaten Island, NY 10306",MANHATTAN,40.5694974,-74.1237437,10306
Hometown Properties,Co-op,335000,1,1,756,Brooklyn,"7901 4th Ave Apt E5Brooklyn, NY 11209",BROOKLYN,40.6273371,-74.0262024,11209
Block & Lot Real Estate SVC,Multi-family home,838000,8,4,2184,Jamaica,"155-17/19 113th AveJamaica, NY 11433",MANHATTAN,40.6880649,-73.7919272,11433
COMPASS,Condo,1495000,2,2,1098,Brooklyn,"84 Front St Apt 2BBrooklyn, NY 11201",BROOKLYN,40.702357,-73.9892037,11201
Century Homes Realty Group LLC,Multi-family home,980000,4,4,3068,Bronx,"262 Zerega AveBronx, NY 10473",MANHATTAN,40.8129128,-73.8461841,10473
RE MAX Edge,House,688000,3,2,1344,Brooklyn,"2805 W 28th StBrooklyn, NY 11224",MANHATTAN,40.5773399,-73.9943294,11224
Budget Real Estate Nyc Inc,Multi-family home,679000,6,3,2184,Brooklyn,"1319 E 96th StBrooklyn, NY 11236",MANHATTAN,40.6398004,-73.8974592,11236
Keller Williams Legendary,Pending,999888,4,2,1900,Flushing,"29-31 159th StFlushing, NY 11358",MANHATTAN,40.7701584,-73.8052147,11358
Geo Real Estate Group Inc,Co-op,375000,1,1,500,New York,"240 E 55th St Apt 8ENew York, NY 10022",MANHATTAN,40.7581216,-73.9670704,10022
Netter Real Estate Inc,House,848724,2,2,2184,Woodside,"53-15 37th RdWoodside, NY 11377",MANHATTAN,40.7511112,-73.9089639,11377
Brown Harris Stevens,Townhouse,1595000,3,8,2184,Manhattan,"511 W 144th St Unit TownhouseManhattan, NY 10031",MANHATTAN,40.8250069,-73.9486453,10031
City Advance Realty Inc,Condo,568000,2,2,1253,Rockaway Park,"164 Beach 101st St Unit 15ARockaway Park, NY 11694",QUEENS,40.5828044,-73.8210807,11694
Salmon Realty Group,Multi-family home,1153000,4,2,3980,Staten Island,"7739 Amboy RdStaten Island, NY 10307",MANHATTAN,40.5078915,-74.2530332,10307
Realty Connect USA LLC,Multi-family home,2399000,10,5,2184,Bayside,"3505 214th PlBayside, NY 11361",MANHATTAN,40.7693956,-73.7708144,11361
Keller Williams Realty Greater Nassau,Co-op,349000,1,1,800,Kensington,"510 Ocean Pkwy Apt 4DKensington, NY 11218",MANHATTAN,40.6358249,-73.973308,11218
Realty Trends Corp,Multi-family home,2999990,5,6,3600,Brooklyn,"226 12th StBrooklyn, NY 11215",MANHATTAN,40.6681258,-73.9897865,11215
Mont Sky Real Estate Hudson,Townhouse,899000,3,2,1400,Woodside,"50-07 63rd StWoodside, NY 11377",MANHATTAN,40.7368055,-73.9026152,11377
Amorelli Realty LLC,Co-op,169000,1,1,2184,Astoria,"21-57 33rd St Unit 5DAstoria, NY 11105",QUEENS,40.7759232,-73.9087334,11105
JM Properties,House,449999,4,3,1217,Staten Island,"46 Elizabeth StStaten Island, NY 10310",MANHATTAN,40.6329023,-74.120945,10310
"River Realty Services, Inc.",Foreclosure,886545,6,4,2116,Howard Beach,"133-29 Amber StHoward Beach, NY 11208",MANHATTAN,40.6719007,-73.8590006,11208
Keller Williams Realty Staten Island,Townhouse,495000,3,2,1280,Staten Island,"75 N Burgher AveStaten Island, NY 10310",MANHATTAN,40.6396483,-74.1151985,10310
"Ed Bruno Realty, LLC",House,749000,4,3,2150,Staten Island,"142 Dixon AveStaten Island, NY 10303",MANHATTAN,40.6278109,-74.146957,10303
EXIT REALTY PRIME,House,875000,4,3,2129,Glen Oaks,"79-26 268th StGlen Oaks, NY 11004",MANHATTAN,40.7474641,-73.704456,11004
RE MAX 1st Choice,Multi-family home,1630000,11,6,2184,Elmhurst,"42-32 81st StElmhurst, NY 11373",MANHATTAN,40.7424172,-73.8842849,11373
COMPASS,Condo,849000,2,1,720,Manhattan,"150 W 51st St Apt 808Manhattan, NY 10019",MANHATTAN,40.761427,-73.982584,10019
Douglas Elliman,Pending,110000,1,1,650,Bronx,"6535 Broadway Apt 3GBronx, NY 10471",BRONX,40.906568,-73.8968047,10471
KELLER WILLIAMS REALTY LANDMARK II,Pending,299999,2,1,650,Brooklyn,"124-21 Flatlands Ave Unit 8BBrooklyn, NY 11208",BROOKLYN,40.657696,-73.8764091,11208
Weichert Realtors TMT Group,Co-op,335000,3,2,2184,Bayside,"18-50 211 St Unit 3DBayside, NY 11360",QUEENS,40.7805732,-73.7825806,11360
"Compass Greater Ny, Llc",Co-op,549000,3,1,1200,Brooklyn,"7002 Ridge Blvd Apt D11Brooklyn, NY 11209",BROOKLYN,40.6358323,-74.0291372,11209
