Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
RE MAX Elite,Co-op,489000,2,1,950,Brooklyn,"9201 Shore Rd Apt D509Brooklyn, NY 11209",BROOKLYN,40.620502,-74.0396973,11209
Dorsa Group Realty,Co-op,398000,2,1,900,Brooklyn,"181 73rd St Apt 457Brooklyn, NY 11209",BROOKLYN,40.6337679,-74.0305471,11209
Grand Realty Advisors,House,1190000,3,2,1088,Brooklyn,"186 Mackenzie StBrooklyn, NY 11235",MANHATTAN,40.5787747,-73.9401956,11235
Avenues,Townhouse,795000,5,2,2184,Brooklyn,"1065 Hegeman AveBrooklyn, NY 11208",MANHATTAN,40.6678086,-73.8739629,11208
Douglas Elliman,Multi-family home,750000,3,4,2184,Brooklyn,"4701 Beverley RdBrooklyn, NY 11203",MANHATTAN,40.6463635,-73.9325263,11203
Prospes Real Estate Corp,Condo,899999,3,3,1750,Flushing,"148-09 Northern Blvd Unit 5GFlushing, NY 11354",QUEENS,40.7654814,-73.8178731,11354
Avenues,Townhouse,795000,5,2,2184,Brooklyn,"1065 Hegeman AveBrooklyn, NY 11208",MANHATTAN,40.6678086,-73.8739629,11208
Douglas Elliman,Multi-family home,750000,3,4,2184,Brooklyn,"4701 Beverley RdBrooklyn, NY 11203",MANHATTAN,40.6463635,-73.9325263,11203
Prospes Real Estate Corp,Condo,899999,3,3,1750,Flushing,"148-09 Northern Blvd Unit 5GFlushing, NY 11354",QUEENS,40.7654814,-73.8178731,11354
COMPASS,Condo,1325000,3,2,1597,Brooklyn,"9511 Shore Rd Apt 503Brooklyn, NY 11209",BROOKLYN,40.6163434,-74.0377889,11209
Corcoran Brooklyn Heights,Townhouse,595000,1,2,846,Brooklyn,"943 Saint Marks Ave Apt 1ABrooklyn, NY 11213",BROOKLYN,40.6749628,-73.9401841,11213
NEUHAUS REALTY INC.,Multi-family home,10700000,42,43,27152,Staten Island,"646-662 Port Richmond AveStaten Island, NY 10302",MANHATTAN,40.6276713,-74.1423518,10302
Keller Williams Realty Central Monmouth,Condo,330000,1,1,726,Staten Island,"215 Hart Blvd Apt 2BStaten Island, NY 10301",STATEN_ISLAND,40.6299335,-74.0999243,10301
COMPASS,Condo,2998000,3,3,1763,Queens,"46-30 Center Blvd Ph 4Queens, NY 11109",MANHATTAN,40.7465758,-73.9569744,11109
Keller Williams Realty Liberty,Co-op,425000,2,1,2184,Brooklyn,"86 Beaver St Apt 2JBrooklyn, NY 11206",BROOKLYN,40.699914,-73.936622,11206
